Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	1_01	1_02	1_03	1_04	1_05	1_06	1_07	1_08	1_09	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	1_24	1_25	1_26	1_27	1_28	1_29	1_30	1_31	1_32	1_33	1_34	1_35	1_36	1_37	1_38	1_39	1_40	2_01	2_02	2_03	2_04	2_05	2_06	2_07	2_08	2_09	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	2_24	2_25	2_26	2_27	2_28	2_29	2_30	2_31	2_32	2_33	2_34	2_35	2_36	2_37	2_38	2_39	2_40	3_01	3_02	3_03	3_04	3_05	3_06	3_07	3_08	3_09	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	3_24	3_25	3_26	3_27	3_28	3_29	3_30	3_31	3_32	3_33	3_34	3_35	3_36	3_37	3_38	3_39	3_40	4_01	4_02	4_03	4_04	4_05	4_06	4_07	4_08	4_09	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	4_22	4_23	4_24	4_25	4_26	4_27	4_28	4_29	4_30	4_31	4_32	4_33	4_34	4_35	4_36	4_37	4_38	4_39	4_40	5_01	5_02	5_03	5_04	5_05	5_06	5_07	5_08	5_09	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	5_18	5_19	5_20	5_21	5_22	5_23	5_24	5_25	5_26	5_27	5_28	5_29	5_30	5_31	5_32	5_33	5_34	5_35	5_36	5_37	5_38	5_39	5_40	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	6_17	6_18	6_19	6_20	6_21	6_22	6_23	6_24	6_25	6_26	6_27	6_28	6_29	6_30	6_31	6_32	6_33	6_34	6_35	6_36	6_37	6_38	6_39	6_40	7_1	7_2	7_3	7_4	7_5	7_6	7_7	7_8	7_9	7_10	7_11	7_12	7_13	7_14	7_15	7_16	7_17	7_18	7_19	7_20	7_21	7_22	7_23	7_24	7_25	7_26	7_27	7_28	7_29	7_30	7_31	7_32	7_33	7_34	7_35	7_36	7_37	7_38	7_39	7_40	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	8_22	8_23	8_24	8_25	8_26	8_27	8_28	8_29	8_30	8_31	8_32	8_33	8_34	8_35	8_36	8_37	8_38	8_39	8_40	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_16	9_17	9_18	9_19	9_20	9_21	9_22	9_23	9_24	9_25	9_26	9_27	9_28	9_29	9_30	9_31	9_32	9_33	9_34	9_35	9_36	9_37	9_38	9_39	9_40	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14	10_15	10_16	10_17	10_18	10_19	10_20	10_21	10_22	10_23	10_24	10_25	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34	10_35	10_36	10_37	10_38	10_39	10_40
Q86PH6	Q86PH6	Q86PH6_APIME	trf	Transferrin	43808.7	34412.8	40917.6	41784.8	18273.2	16801.1	21268.9	19192.1	17029.5	19429.3	38718.5	21705.9	23541.8	32863.6	34274.3	25367.5	25662.6	77613.1	286669	344667	138530	77498.1	57874.7	49589.8	44600.5	40390	30172.7	36114.5	50241.6	56064.9	55100.6	52810.7	63948.2	49986.2	59289.7	50820.2	50018.5	53496.5	56048.1	51047.8	22623.5	24174.2	25297.4	20190.7	17140.7	9369.15	8648.9	11291.9	9344.66	11644.2	10254.6	11036.6	12238.6	16851.5	17945.7	12527.2	21978.5	119911	253100	309341	172961	89154.7	54685.2	62721.8	58756.8	33075.3	43122.8	43558.7	60684.5	73408.3	87510.1	94551.4	83772.9	70061.6	106316	73366	103206	70777.5	71804.8	62871	14574.7		14892	18116.8	10923.1	9672.57	22454	14049.8	10712	10495.1	9478.71	10700.7	15538.4	25170.8	22634.2	20594.7	29470.4	122714	364323	291146	82942.6	74756.8	57305.1	51744.1	34339.1	17177	46093.7	19443.1	56491.8	45111.8	38346.3	30684.2	50116.8	44395.3	56708.8	86945.4	57524.8	62190.8		62852.8	19909.7		15475.6	14528.1	13947.7			9372.86	11341.2	14285.2		10403.2	10932.7	8206.84	20693.2	13121.2	15995.5	10696.5	7599.5	103302	188006	224765	105960	74227.2	59638.7	39230.8	21337.2	17688.5	14332.6	21431.2	31885.1	42135.3	45877.7	70974	44833.6	51723.8	38209.4	86535.2	51519.4	40423.8	8743.89	12746.4	16768.9	18238.9	12030.9	9222.89	7331.56	6153.94	5081.61	7335.79	5254.29	5973.6	6626.91	8517.85	12609.1	14571.6	12159.9	15981.6	58316.7	243861	362541	169169	86825.3	63139.6	46935.5	40856.8	22174.9	24034.5	25483.9	32550.7	47713.7	56451.9	50218.8	60805.8	70917.6	64838.2	63080.2	58690.3	55094.7	60065.5	11800.8	9649.65	15672.3	13213.1	8718.25	10341.4	18760.3	18843.5	12235.6	17771.1	11832.6	11044.8	9627.07	9556.05	10141.7	10129.2	9825.41	9908.3	13091.8	10479.7	15099.2	29396.4	162641	343281	163091	83232	56732.4	37509.1	33701	32323.7	32335.8	18630.3	45677.1	39419.3	39794.3	46430.4	39789.1	32981	26217.3	21864.4	8908.04	14450.7	22742.8	14320.9	9877.46	20382.2		7362.42	7280.83	6995.52	5591.81	9717.29	8772.81	13066.1	13638.8	19249	18920	20670.7	25145.1	102977	265686	240927	83204.3	49838.8	35541.4	33333.5	29001.3	44210.7	18888.5	33547.4	37116.5	57565.8	30770.9	63241.4	45638.7	46429.8	41394.3		22966.7	15150		9439.35	15308.2	12362.2	21729.9	4176.11	9347.85	10364.2	9001.43	8714.4	7090.71	6623.17	7092.01	9449.32	11826.1	12665.5	10916.4	10955.5	18977.7	113954	298277	243018	99796	56105.6	37183.5	28871	57514.6	44974.6	64631.8	51353.7	31239.6	31971.2	53197.5	47647.4	28188.3	32234.6	31702.5	44173.4	32766.6	53033.1	8715.75	6367.11						9273.68	5161.11	6164.49	6600.25	8282.18	10832.3	8997.98	18005.9	14178.3	11828.8	14418.9	76392.2	242606	353541	104313	41570.8	36531.1	31184.1	23865.8	77492.5	21884.1	26973.9	50591.1	31025.7	32567.5	70362.1	39191.2	26776.3	50040.8	22835.5	19814.1	14140.7	35347.8	16143.1	11922.3	21080.6	22483.9	18485.4	14427.8	12789.9	8510.86	10614.3	10505.3	8668.82	10084.7	8351.76	9899.46	17398	17229.1	13409.1	14679.6	45843.3	226818	557880	246089	111906	72519.4	63402.5	48019.1	143407	41631.6	103531	59418.8	43077.3	51775.4	77786.5	52324.1	47794	42477.4	39467.4	72151.9	48052.6	41032.6
Q8I6X7	Q8I6X7	Q8I6X7_APIME	ASP3c	Antennal-specific protein 3c						5373.56	2091.55				5244.34														3582	7938.65	7053.01	3300.09	4091.82			6305.44		5591.03	6055.76						1949.65										3531.32			1611	1696.4	880.511			1042.86					4370.25	17635.4	24529.9	22661.8	9136.65	8057.43	17695.7	17559.6	16840	14667.5	12589.9		6662.6			11878		6925.28		9027.92	10948.3	7379.01	8848.62		8600.23	4765.8			2711.99	3243.78	2803.16	1876.02	1450.15								1620.27	8137.88	6798.02	9194.43	22035.4	3952.6	11493.5						9032.9	3871.83																															14243.7	12595.2		5753.73		7929.1		8743.53			6768.02											2443.13	2398.35						1749.81	1191.81		1734.67	1893.61	1152.05					4175.88	6237.89	6966.75	9698.22	13751.3	8302.53	9157.72	11728.3	11693.2	13088.5	16230.9	9424.81	8633.1	6477.77																														3113.29	17194.1	18097.6		7798.96	10863.2	11018.3	8557.72	11258.3				11155.2	11284.6	27268.2			6922.3		8629.83	9314.23	6637.51	3376.49		3720.33				2628.38											14762.6				7486.98																																			14804.3	22923.3	17755.4			34250	36106.7	24472.2	16061.7				7567.01								10185.3	15911.6	13838.8	10214.9	14830.8	10010.7	6203	5188.95												3977.45	4236.38	7848.75		7460.15	8918.81	10522.2	8372.62	7192.86		8270.16	12847.5																					1246.07						1305.8		2284.74	4094.21	9336.74	3750.3	4572.11		10325.9						40938.5		
Q9U8X5	Q9U8X5	Q9U8X5_APIME	406114	Alpha-amylase	15533.6	13724.1	12304.6	20514.4	12410.4		16060	7491.06	9862.9	5823.92	11722.1	10157	9689.29	8534.17	14938.5	9420.8	6982.8	5914.89	4615.11	7516.65	11667.4	43710.4	156498	156137	71166.8	32500.7	29651.3	30695.9	30683	39969.7	45816.4	41322.8	48412.3	42946.3	42361	49791.9	42553.9	19788.6	41528	54357.8					18108.7			5950.55	3049.63	5130.19	6958.22	4542.1		5191.91	5791.16	2919.11	2404.48	2879.28	2543.7	3318.54	7789.61	44522.1	102322	146939	35753.4	23462.7	27579.5	20994	19555.8	19935.1	23060.9	22487.4	20224.4	19266.9		27087.1		15883	21990.2	21886.5	14605.9		17002.7			32901.4		17513.7	6489.39	8623.61	8198.56	9749.32	12529.5	11868	10494.2	8227.91	6895.07	5389.27	5957.9	8219.2	10379.5	83473.6	462622	467732	129599	66743.9	23378	50487.2	28824.7	32449.3	50253.6	19474.9	51724.3		32723.7	27037.6	35815.6	44965.2		40759.9				12915.2	20243							4836.58		4262.84		3763.14		4288.44		2104.46	5426.76	4375.77	9336.21	60617.1	190647	240142	59717.3	36650.1	38341.6	40552.9	32504.6	38915.7	34106.5	28736.5	33256.3	27188.2	31455.7	35117.9	40630.2	36713.5	13320.7	9591.23	15990.2	13228.1	15073.6	8748.19	8918.38	7418.62	5871.18	7166.52	7510.69	7618.73	8168.9	7201.27	8445.64	7072.13	6781.15	5698.09	5714.81	4772.55	6981.51	14657.8	66693.8	368954	486815	196761	98869.6	80349.6	77107.9	74304.3	68923.1	61451.5	77483.9	80107.5	79729.8	85919.1	50266.1	56554.2	67531.8	80127	19605.3	14883.8	17474.8	16007.7	18190.7	13038.5		13920.8	25848.2	40185.7					5699.23	3729.76		5127.87	2477.55	3207.86	2599.48	2308.02	1624.18	2797.13	3762.42	11408.1	52848.1	86188.4	56906.5	30227.8	17838.5		26033.7	25362	21720.1	35312.3	34975.4	27212.1	33218.6	46136.3	15675.7	14710.7	36838	18654				13516	7212.25		12841	9205.95	8894.51	10072.4	19968.2	7519.88	7223.37	5600.2	4713.53	7743.62	5680.41	5275.32	10997.9	64163.6	188979	228382	66277.3	61701.7	62260.2	78040	61479.8	64402.6	67416.7	75212.1	75573.2	124828	117902		99412.6	127652					22691.3				3824.46					6147.65				6107.05					14638	70174.9	166280	183767	74795	66627.4	51519.6	58159.9	55288.4	87093.9	65336	78418.9	95603.2	89777.4	66479.9	73095	116558	166878	18731.2	17198.5		33566.7	26270.8	24129	21192	15066.1	14240.4	7937.98	14151.5	15105.9	14982.9	11141.1	18111.3	11624.7	9610.98	8739.68	9361.68	5697.64	11534.6	12830.4	63714.6	445109	653284	286594	59944.3	102311	92932.8	113440	74664.6	91923.4	128079	135952	85961.8	178746	108738	129152	107123	98864	30447.5	22154.8	27859.1	42302	39712.1	30613.7	36797.3	13177.9	9894.33	9211.23	9296.55	10404.4	9084.8	8696.75	11431.8	7380.11	8676.38	6202.54	6019.62	4348.77	7859.95	6834.56	28964.7	193687	374586	326027	85302.6	74928.8	37169.3	65064.4	40840.6	57491.6	81694.8	93369.8	73469.2	80903.7	70933.3	87092	105665	73370.4
Q9U8X6	Q9U8X6	Q9U8X6_APIME	406081	Glucose oxidase	32384.5	25225.3	29027.6	32510.1	20500.4	20483.4	17362.3	17473.5	16139	14179.5	13465.9	11894.4	9711.16	9255.66	9696.68	6521.01	4233.88	4049.69	4102.99	5247.68	4018.19	5625.19	3679.99	4172.09					4400.11					16000.3	12765.5	22946	18681.1	15160.9	19104.8	23052.2	24917.6	25998	16211.4	11436.3	15578.7	12771	14290.2	17796.1	10649.2	11677.3	12488.4	18690.6	18636.3	16378.5	14550.2	12641.3	9579.7	10081.8	6855.39	8253.02	7341.04	7269.39	7445.41	6590.7									7531.64					22654.6	14992	18251.6	48824.7		36040.8	38770.3	27456.8	28590.5	20348.2	25211	19515.9	17235.3	12907	14318	12315.9	9888.82	8187.16	5627.95	4040.1	4061.43	6186.46	4341.87	2571.88	3332.86	3624.88			3027.33			4516.9		4187.52				13355.6	19516.4	17647.8			11292	54036.1		55836.7	46002.5	25032.3			34962.3	28913.2	28517		20150.9	15452.6	24706.5		19088.4	15622.3	12610.3	12282.2	5375.67	7504.17	9866.56	6767.65	6392.45	5314.16									5977.28	12256.8	13187.1	16876.3	10502.8	11134.2	17880.7	28138.2	22219.6	23220.3	14659.2	15718.2	12126.7	16227.3	13035.8	14195.4	11920.5	10818.5	10938.2	11700.3	13430.5	18100.8	20314.2	19805.3	16903.3	19237.3	13778.1	14418.5	11659.7	11861.8	7751.42	6153.31	7575.5								8269.61	12842.1		17792.4	21521.5	21511.4	28188.5	87267.5	58740.4	64925.7	65083.2	36919.7	74376.1	43912.2	49432.8	36947.5	41402.2	35039.7	18435.5	17728.4	13576.9	15296.9	12572.1	15301.4	14174.2	13281.2	13174.4	7493.3	8969.41	5014.1	6216.6	7205.75	6434.57	5742.29	5068.9	5077.72	5597.63					13362.4	19183.7		29048.7	30951.8	47863.2	55702.3	45036.8	49817.8	39345.6	33932.4	37214.5		45116.3	38649.9	30130.4	27174.7	20523.6	15390.9	19302.4	26837.6	17754.9	13042.9	9469.07	9081.22	7639.58	6977.88		4238.38	2874.45											17119.9	17169			57945.9	19603.6	67730.2	70055.3	56296.9	63493.2	51426.5	32948.6	48256.7	32215.1	42216.7	28549.1	17413.7	27869.1	19865.6	22552.8	20577.5	25722.2	15243.1	9236.04	14126.9	11535.2	7870.13	7088.88		8310.79	8115.02	7974.21				20146.6									32279.2	77107.9	57918.2	46620.3		54340.2	53312.9	25409.3	19404.9	23584.4	21425.2	17733.6	12777.9	14125.7	13437.3	9926.03	11446.7	7724.74	5206.06	3515.87	3735.92	4392.79	2757.9	2443.08	3054.77			3390.98								18013.9	26932.5	16141	16092.4	24935	31980.4	29205.2	33768	51322.5	35060.6	39024	36641	31933.5	27607.4	26942.6	24176.9	24908.9	21498.7	24585.5	22997.3	24490.7	24246	21845.6	15427.1	12950.1	12131.8	9792.21	11129.7	11284	11373.4	8748.69	8077.69		10639.6	3440.88							22634.5	31287.9	33551.1	14595.7	24122.4	52888.1
R4TRB9	R4TRB9	R4TRB9_APIME	lys1	LYS1 (Fragment)																										4461.95		15171.4	50936.8	80177.7	67734.5	25389.7	17410.6	26968.8	33322.4	16961	30695.9		22040																													28222.1	36500.4	93447.6	67712.2	51225.4	41303.2	21150.6		19582.9		27582.7	42939.5	8468.73																											11919.9	38698.7	88365.9	67675.8	53956.7		37791.2	13371.2	32550.8	20800.7	30384.1	13219.5														4638.44																3481.16	12311.6	65535.6	260148	298010	43901.3	38602.8	61778.5	31539.7	39757.2	35073.4	27305.4	75820.3																													8407.93	171155	116327	73066.4	65806.1	57607	43647.9	29353.5	25383.2	32372.7	20517.3	19597.2															2280.51					1184.87										4716.5	5911.57		34716.2	197250	109718	106952	58954.1	61404.2	73772.6	74651.1																														28100.5	126343	54505.1	89126	53505.6	50879.7	36163.2																																	26482.1	107133	188184	112256	24758.1						7430.12	15602.9															5856.07	1439.88												4126.54	56874.1	180083	145563	101046	35382.5	56857.5	41817.6	42082.1	18272.6	24584.8		7757.25											2772.99		2875.42	1454.61		831.959											1940.95		8402.56	127219	184562	130164	120462	80235.1	71745.9	49419.5	36145.7	42219	11309.1	15221.4
T0KVZ2;T0L4I9	T0L4I9;T0KVZ2	T0KVZ2_9MICR;T0L4I9_9MICR	NAPIS_ORF02773;NAPIS_ORF02774	Uncharacterized protein																																																																					11654.1	41065	41665.9	34018.2	27847.2	24161.5		16930.4		21421.3	22866.7																																																																				1249.3					44004.3	57074.5	35018.3	56196.9	73451.2	61954.7	22825.9	41658.2	51324.1																																																																									17857.4	56731.6	64828.9	47697.3	25542.3	34302	29201.7	27567																																																																							30855.1	55591.5	87117.1	30030.1	74555.7	38877.4	57459.2	21824.2	41739.3	31664.7																																																																							19225.8	39318	47018.5	44443.3	31131	36233.7	32048.9		18094.9	21490.6
T0KW71	T0KW71	T0KW71_9MICR	NAPIS_ORF02676	Asparaginyl-tRNA synthetase																																															6300.66	3746.57								4826.21				3962.46				18515.2	25807.2	152586	220143	111767	46689.8	111615	84142.2	74350.4	48788.5	66595.8		52768.4		56325.2	51520.2	46861.7																4365.93	2362.42														4646.96																					3331.55					16431.6								9508.45		22668.1	58676.8	124732	117640	84363.2	92510	83862.3	50659	60838.9	65884.6	60397.9	36829.9	45106.2	56855															9851.84	7833.45																																												5609.44									10133	42811.3	108263	50682.8	82218.3	70050	74957.9	48306.8	53231.7	52347.7	57587	51231.5																																										10615.3																								9147.83	21348.2	98464.5	112223	68930.7	106427	89176.6	80255.6	36659.6	59489.1	46496.5	63378.5	29079.7	40592.7	47579.1																																																							26995.7											9100.52	11811.9	41468.9	38774.8	58358.7	56166.7	47245.7	44875.4	37269.6	40208.3	39933.7	41139.8	16069.2	25252.8	24364
T0KWD8	T0KWD8	T0KWD8_9MICR	NAPIS_ORF02635	Uncharacterized protein																																																																																																																																													1489.69																																																																																																																																																																																																																																																																			
T0KWM3	T0KWM3	T0KWM3_9MICR	NAPIS_ORF02564	Isopentenyl-diphosphate Delta-isomerase																																																															819.762	9297.05	13552.8	14720.9	3912.16	3648.84	1885.98																																																																													5436.89	6303.49	8441.71	4393.48	4528.56																																																																														1634.53	9620.49	10468.5	4690.91		3634.31																																																																								3292.68	9171.61	11982	13417.2																																																																													1457.29	8155.29	5163.81	3383.39	1297.21											
T0KWN0	T0KWN0	T0KWN0_9MICR	NAPIS_ORF02569	Uncharacterized protein																																																											536.332	2914.27	1955.27	673.225																																																																																1038.86	1071.51																																																																																	1383.51	1912.53	1080.83																																																																												2844.1																																																																																658.376																		
T0KWR1	T0KWR1	T0KWR1_9MICR	NAPIS_ORF02523	13s condensin subunit																																																																				8585.01	4556.54	5623.73										3968.47																																				1538.38																																			14697.6	5308.55	7024.35																																																																																																																																																																																																																																													4088.91	4975.55									
T0KX67	T0KX67	T0KX67_9MICR	NAPIS_ORF02470	Uncharacterized protein																																																			941.879	2022.97	6291.04	8521.48	4956.02	1558.01		200.675		1184.99																																																																										1931.61		4715.8							3232.21																																				1178.7																																						2809.47	4621.45	3797.51	2035.6																																																																										3760.36	7916.03	6829.47	4191.87																																																																													1621.84	3373.66	1593.83	377.373							1580.55			1395.75													
T0KX72	T0KX72	T0KX72_9MICR	NAPIS_ORF02475	Phosphoacetyl-glucosamine mutase																																																1361.81		1588.52		2432.81	2530.37	1876.98	2758.57	2858.76	2061.57	1223.82	1105.86	1514.24	1386.22	969.305	927.767																																																																											1917.29		1409.48	2769.82	1084.45	1251.53	831.882																														2899.95																																														2462.75	1467.53	1702.07	960.207	1118.38	998.063	1500.76	1015.53																																																																						2413.46	3598.49	2019.29	1426.27	1551.42	2909.73	1825.18																																																																															489.881																		
T0KX81	T0KX81	T0KX81_9MICR	NAPIS_ORF02485	Uncharacterized protein																																																							3036.39	2260.03	1952.29	2069.65	2783.16	5136.46	1596.34	1672.27			3460.48	6442.29			5071.79																																																																					4911.95		1939.2		3693.88	3659.83	2870.15																																																																										2022.42	2908.14	4722.5	2333.69	3018.48	3874.1	7526.07	2105.94	1672.89				4469.53	2981.85		5293.69																																																																			5920.96	4447.21	6049.37																																																																										2584.78	2040.07		2237.02	1922.32	5318.05	2494.81	2085.91				2435.62		1621.06											
T0KXB1	T0KXB1	T0KXB1_9MICR	NAPIS_ORF02423	Transcription initiation factor IIA subunit 2																																																												359.61	498.265	1100.34	2095.57	2619.86	1647.76	1176.2	1436.74		1810.75																																																																										565.53	1253.41	2010.67	1810.03																																																																											578.55			190.417	358.221	631.274	1595.47	1503.82	1293.22	963.017	253.998																																																																									881.999	1510.77	941.958																																																																														681.11	1165.74	622.651														
T0KXE5	T0KXE5	T0KXE5_9MICR	NAPIS_ORF02391	Pyruvate dehydrogenase E1 component subunit beta																																									4641.2					2718.42	2632.46	3143.22	2293.59	2973.66	3207.95	3946.39	3359.81	2224.36	3188.72	2947.78	2265.69																																																																													2343.19				2222.52	1091.09																																																																													2634.78	2036.55			2177.2																																																																													2760.06	2624.81																																																																															1683.79	4099.01																						
T0KXG2	T0KXG2	T0KXG2_9MICR	NAPIS_ORF02361	Uncharacterized protein																																																																			2064.71	22277	10208.7	13686.5	6400.96	3679.38		1720.12																																																																												4300.23	20038.2	18049.9	10946.8	4968.6		4000.42		2265.87	4704.83																																																																										4127.52																																																																													15151.2	22956.7	8253.36	4710.15	2663.34																							2239.19																																																					11710	13395.4									
T0KXH6	T0KXH6;A0A0F9WFB6	T0KXH6_9MICR	NAPIS_ORF02320	Heat shock related 70kda protein (Hsp 70 family)	110185								6416.78	6169.6	20177.4	16605	50351.3			13417.1								3152.36													28037.1	46853.1			46781.7	42908.8	32396.3	32990.6	47555.5	34977.9	23298.5	28351.9	23725.9	34948.1	47208.6	69510.6	127107	154532	310472	371368	192859	91316.6	58329.5	211388	350109	281745	189777	118604	68701.5	62642.3	37875.1	49222.3	120372	125864	134377	141628	169504	150149	329666	133904	549705	145648	126362	133669								8707.3					56733.5							5687.68		1104.68	6202.55	11451.7																	76706.6		56659.2	69914.1	42178.8			20169	42577.5	29960.5		29322.7	34605.2	36104.2	112826	110078	170476	202343	104749	32024.2	64949.8	218465	332451	282230	67816.8	77374.9	77098.8	63645.8	58617.5	28995.2	34955.3	53571.6	68983.4	55381.5	94221.5	101812	79805.9	97659.9	94413.6	111079				15755.3				3190.52		5985.93						33651.9															69565.4	21177.8			17310.1	22664.8	24461.5	18963.3	23681.9		89645.3	122643	119052	118778	80575.3	74944.9	78911.5	55417	110259	71282.8	51604	31346.3	34941.5	35316.2	45448.8	47932.5	54130	72276.1	164971	284266	130852	48111.8	21011.3	50728.1	177786	230680	95764	66814.7	54837.1	46341.5	23465.8	72609.3	44540.8	81663.3	106209	90713.7	118633	96611.5	102992	81257.4			24589.5														11479.6	58035												467897			321780						33443		65694.1	69894.3	48268.8	36233.1	86388.8	29638.8	31410.9	47499.3	36916.5	28757	25687.5	39703.9	54387.2	83296.5	146553	195583	284213	250411	96990.5	34968.1	61850	257049	300519	171128	112092	89572.3	117081	153315	59747.9	68033	89936.6	101822	121379	116914	125939	126915	113142	198732	107174	112475													15537.1		20234.2			2016.7			2180.11				8525.04	12881.9					43279.8	48618.9	13757.7	27231.8	24131.8	20072.1	47961.5	34633.1	52833.4	34907	22347	24258.9	25409.7		18891.3	26792	13204.7	11800.7	8748.3	12830.8	13302.4	16819.3	20240	24203.8	47969.7	98868	187733	109704	35955.2	18032.8	45222.6	195981	166846	115172	56231.2	25677.4	15798.3	107785	32207.3	41760.4	47534.2	64275.8	70971	171138	63895.6	66773.7	53906.5	66413.8	50019.5	62116.1
T0KXJ3	T0KXJ3	T0KXJ3_9MICR	NAPIS_ORF02335	Proteinase inhibitor i4 serpin																					657.247																					4844.27			3240.23	2356.97	4085.44	3808.22	2449.05	2253.4	2062.08	2931.5	3547.52	3735.86	3457.49	1619.3	2087.73	1651.29	1166.41	1926.61	2718.62	2613.49	1773.55	3061.68	3862.82	8474.78	10891	5962.24	5938.51	3603.91	5640.61		3681.72			1644.35																						1221.9																														1833.39	3820.99			3533.64	2903.47	4052.13		2729.37	8007.58	2800.84		2226.44	3305.73	3672.85	3724.37	3746.9	2228.2	2283.14		3988.96	3767.53	5110.21	3385.33								4373.98																																											9834.07				2489.4					4657.42	2804.7	3441.71	3926.23	2619.41	2817.46	3020.94	3356.75	4545.56	3771.65	2895.16	2558.9	1518.46	3291.97	4674.73	4538.5	3203.51	2159.69	2609.2	4314.16	3956.43		3227.22																																																								3997.76				2464.39		2685.63	2957.37	2216.59	1834.57	3846.4	3176.6	1498.75	2696.91	2937.52	5493.53	2206.37		3753.58	7117.76	5478.26																																																											4191.5				4543.69		2438.75	4112.27	2675.86	1656.92	1555	2344.78	1090.41	2671.72	2088.74	3544.59	2660.96	1633.78	1815.89	2573.57	3902.64	3862.99											
T0KXR9	T0KXR9	T0KXR9_9MICR	NAPIS_ORF02246	Sdo1p																				820.208	3730.34	21781.5	2859.08	11630.5	11822.1	7093.45	23182.9	11838.8	12057	11721.5	7770.63	24200.1	6642.02			5493.21				10982.8																				5577.47	5636.56	8150.19	11569.7	12870.6	20420.2	39049.1	21894.1	15683.4	28262.2	9913.22	10032.8	4823.41	2671.91	6804.4						10869.9																				909.269		14773.6	4706.04	9518.14	15969.7	17838.4	67678.9	17314.4	4601.17	28397.9	5457.3					45205.7				10200.2																							1134.5		8038.93	5349.37	5885.28	15710.2	12500.8	12464.2	9165.3			2929.51																											1102.58	7453.19	2570.06	4919.43	8622.58	12873.8	17195.1	13593.5	14752.4	17343	7605.84	8169.68		5642.32		12412.8	4783.08																													1576.25	2374.63	2215.52	4054.77	13370.5	6106.93		10661.7				5422.34																									5592.56	9766.25	10192.1	4212.22	5496.46	19323	14264	8364.88	8813.71	11120	10523.9	4716.79	7089.95		6076.26	12619.6																								2300.17	20568.9	14235.7	18339.1	8125.65	10022.8	13262.8	14883.1	9676.48				9786.55	14261.6	10112.3					5161.71																						19113.5	23429.5	6396.21	2894.76	7751.08	6132.4	4675.42	7804.05	5740.33			3751.73	3677.3		5180.02																												2301.89	2024.71	2362.96		9061.64	11753.5	4806.71										
T0KXU3	T0KXU3	T0KXU3_9MICR	NAPIS_ORF02208	Eukaryotic translation initiation factor 3																																																													1071.07	1202.67	814.06	740.218																																																																						553.394									915.318	1992.4	1170.4																																																																																382.2	1146.99	877.852		405.292																																																																										1817.91	1572.32																																	21.1271																																														714.274	838.098																
T0KXU8	T0KXU8	T0KXU8_9MICR	NAPIS_ORF02213	Cofilin-like protein																																																																3034.08	6693.59	6232.34			3237.14																																																																													2057.34																																																																																			3532.54	4623.56																																																																												3680.36	7285.19																																																																																1286.33													
T0KXY1	T0KXY1	T0KXY1_9MICR	NAPIS_ORF02182	Cct8																																									6516.28	7218.65					10220.9	3374.26				693.811	1505.97		1028.52	675.149	1424.93	2245.62	2256.35	1298.81	647.771		365.739																																																																													1377.15	2577.55	1527.04																																																																															564.167	781.599	718.841	592.311																																																																												856.764	861.02																																																																																																			
T0KXY8	T0KXY8	T0KXY8_9MICR	TIF6	Eukaryotic translation initiation factor 6												1770.7																													7999.91	3227.97		2204.04			1469.05	3007.5	2855.51	1851	1293.34		1458.48		1262.02	1213.44	1043.1	653.154	1009.15	1364.1	1907.02	5918.06	7829.12	10180.2	4189.37	6252.96		5417.05	8816.6																																																												3311.1											532.796	1093.21	1325.1	1869.71	5861.92	15002.7	14516.3	4217.35	3786.72																																																					13848.1	9689.59	7282.69	4244.32							5012.88			2203.31	2699.68	1736.81	1861.33			990.924			331.264	485.205	718.546	1560.83	10196.4	20369.2	9090.62	4375.21	3457.3									4243.49																																																															1642.64	5308.1	12220.3	8279.05	3562.45							6440.22																																																					3223.89				2064.51		1727.91									434.685	2105.56	6013.2	7784.64	5316.25	1689.59													
T0KY33	T0KY33	T0KY33_9MICR	NAPIS_ORF02170	Cell division control protein																																																										2162.5	1712.69																																													2997.66																																				783.417	1097.98																																																																																		1146.18	1117.71																																																																												1977.07																																1072.09													11516																																									10056.6														
